validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy,test_loss,test_accuracy
0.24540759428516304,0.6000000238418579,0,3,,,,
,,0,3,0.2529911994934082,0.4747474789619446,,
0.2485215012152321,0.6000000238418579,1,7,,,,
,,1,7,0.25259023904800415,0.4747474789619446,,
0.25186228641929825,0.6000000238418579,2,11,,,,
,,2,11,0.2522159814834595,0.4747474789619446,,
0.25431331666105345,0.6000000238418579,3,15,,,,
,,3,15,0.2519663870334625,0.4747474789619446,,
0.2556504368987129,0.6000000238418579,4,19,,,,
,,4,19,0.2516985535621643,0.4747474789619446,,
0.2564485386582795,0.6000000238418579,5,23,,,,
,,5,23,0.2514352798461914,0.4747474789619446,,
0.25696379305898626,0.6000000238418579,6,27,,,,
,,6,27,0.25125032663345337,0.4747474789619446,,
0.2572203759455281,0.6000000238418579,7,31,,,,
,,7,31,0.25115057826042175,0.4747474789619446,,
0.2571470161779466,0.6000000238418579,8,35,,,,
,,8,35,0.2510586082935333,0.4747474789619446,,
0.2570041622505931,0.6000000238418579,9,39,,,,
,,9,39,0.25093016028404236,0.4747474789619446,,
0.257098528612504,0.6000000238418579,10,43,,,,
,,10,43,0.2508121132850647,0.4747474789619446,,
0.25726092137294465,0.6000000238418579,11,47,,,,
,,11,47,0.2507321238517761,0.4747474789619446,,
0.25738282063166,0.6000000238418579,12,51,,,,
,,12,51,0.25066959857940674,0.4747474789619446,,
0.25752890304150394,0.6000000238418579,13,55,,,,
,,13,55,0.25059032440185547,0.4747474789619446,,
0.25769704652936815,0.6000000238418579,14,59,,,,
,,14,59,0.25050199031829834,0.4747474789619446,,
0.25780175017214324,0.6000000238418579,15,63,,,,
,,15,63,0.2504356801509857,0.4747474789619446,,
0.25780911389301,0.6000000238418579,16,67,,,,
,,16,67,0.2503778338432312,0.4747474789619446,,
0.2578015240530369,0.6000000238418579,17,71,,,,
,,17,71,0.25032293796539307,0.4747474789619446,,
0.2577320705338079,0.6000000238418579,18,75,,,,
,,18,75,0.25028195977211,0.4747474789619446,,
